Verified,Game Name,Series,Developer,Publisher,Date Published
No,Colin McRae: DiRT,Colin McRae Rally,Codemasters,,2007-06-15
No,Colin McRae: DiRT 2,Colin McRae Rally,Codemasters,"Codemasters, Feral Interactive",2009-12-01
No,Colony Survival,,"Pipliz, Zun",,
No,Combat,,Magic Lantern Playware,Infogrames,2001-11-20
No,Combat Chess,,Minds Eye Productions,"Empire Interactive, Strategy First",1997-01-01
No,Combat Core,,MABManZ,,
No,Combat Mission 3: Afrika Korps,Combat Mission,Battlefront.com,"Cdv Software Entertainment, 1C Company, Snowball Studios",2003-11-28
No,Combat Mission Cold War,Combat Mission,Battlefront.com,Slitherine,2021-11-16
No,Combat Mission II: Barbarossa to Berlin,Combat Mission,Battlefront.com,"Cdv Software Entertainment, 1C Company",2002-09-20
No,Combat Mission: Beyond Overlord,Combat Mission,Battlefront.com,Cdv Software Entertainment,2000-06-14
No,Combat Mission: Shock Force 2,Combat Mission,Battlefront.com,Slitherine,2020-08-31
No,Combat: Task Force 121,,Zombie Studios,"City Interactive, Groove Games, 1C Company",2005-03-20
No,Command & Conquer,Command & Conquer,Westwood Studios,"Virgin Interactive, Electronic Arts",1995-09-26
No,Command & Conquer 3: Tiberium Wars,Command & Conquer,"EA Los Angeles, BreakAway Games",Electronic Arts,2007-03-28
No,Command & Conquer Remastered Collection,Command & Conquer,"Westwood Studios, Petroglyph Games, Lemon Sky Studios","Electronic Arts, Limited Run Games",2020-06-05
No,Command & Conquer: Generals,Command & Conquer,"EA Pacific, EA Los Angeles","Electronic Arts, Aspyr Media",2003-02-10
No,Command & Conquer: Red Alert,Command & Conquer,"Westwood Studios, Intelligent Games","Virgin Interactive, Electronic Arts, Sold Out Software",1996-11-22
No,Command & Conquer: Red Alert 2,Command & Conquer,Westwood Pacific,"Electronic Arts, Sold Out Software",2000-10-25
No,Command & Conquer: Red Alert 3,Command & Conquer,EA Los Angeles,Electronic Arts,2008-10-28
No,Command & Conquer: Renegade,Command & Conquer,Westwood Studios,"Electronic Arts, Sold Out Software",2002-02-26
No,Command & Conquer: Tiberian Sun,Command & Conquer,Westwood Studios,"Electronic Arts, Sold Out Software",1999-08-27
No,Command HQ,,Ozark Softscape,"MicroProse, Retroism, Night Dive Studios",1990-01-01
No,Commandos 2: Men of Courage,Commandos,Pyro Studios,"Eidos Interactive, Sold Out Software, Merge Games, Kalypso Media, Feral Interactive",2001-09-20
No,Commandos 3: Destination Berlin,Commandos,Pyro Studios,"Eidos Interactive, Sold Out Software, Merge Games, Kalypso Media, Feral Interactive",2003-10-14
No,Commandos: Behind Enemy Lines,Commandos,Pyro Studios,"Eidos Interactive, Sold Out Software, Merge Games, Kalypso Media",1998-08-28
No,Commandos: Beyond the Call of Duty,Commandos,Pyro Studios,"Eidos Interactive, Sold Out Software, Merge Games, Kalypso Media",1999-03-30
No,Commandos: Strike Force,Commandos,Pyro Studios,"Eidos Interactive, Noviy Disk, Sold Out Software, Merge Games",2006-03-15
No,Company of Heroes,Company of Heroes,Relic Entertainment,"THQ, Sega",2006-09-12
No,Conan,Conan the Barbarian,Cauldron,TDK Mediactive,2004-02-19
No,Conan Exiles,Conan the Barbarian,Funcom,,2018-05-08
No,Conflict Zone,,MASA Group,Ubisoft,2001-05-25
No,Conflict: Denied Ops,Conflict,Pivotal Games,"Eidos Interactive, Square Enix",2008-02-08
No,Conflict: Desert Storm,Conflict,Pivotal Games,SCi Games,2002-09-13
No,Conflict: Global Terror,Conflict,Pivotal Games,"Eidos Interactive, 2K Games",2005-09-09
No,Conquest of Elysium 4,Conquest of Elysium,Illwinter Game Design,,2015-11-16
No,Conquest of the New World,,Quicksilver Software,Interplay Entertainment,1996-04-24
No,Conquest: Frontier Wars,,Fever Pitch Studios,Ubisoft,2001-08-14
No,Constructor,Constructor,System 3,Acclaim Entertainment,1997-01-01
No,Contagion,Contagion,Monochrome LLC,,2014-04-11
No,Contract J.A.C.K.,No One Lives Forever,Monolith Productions,Sierra Entertainment,2003-11-11
No,Contraption Maker,,Spotkin,,2014-07-07
No,Corporate America,,Sam DeMinico,,2019-11-22
No,Corridor 7: Alien Invasion,,Capstone Software,"IntraCorp, GameTek, GT Interactive, Ziggurat Interactive",1994-03-01
No,Corvette,,Steel Monkeys,TDK Mediactive,2003-12-10
No,Cosmoteer: Starship Architect & Commander,,Walternate Realities,,
No,Cossacks II: Battle for Europe,Cossacks,GSC Game World,"cdv Software Entertainment, GSC Game World",2006-06-19
No,Cossacks II: Napoleonic Wars,Cossacks,GSC Game World,"cdv Software Entertainment, GSC Game World",2005-04-26
No,Cossacks: Back to War,Cossacks,GSC Game World,cdv Software Entertainment,2002-11-20
No,Cossacks: European Wars,Cossacks,GSC Game World,"Strategy First, cdv Software Entertainment",2001-03-30
No,Cossacks: The Art of War,Cossacks,GSC Game World,cdv Software Entertainment,2002-03-31
